title,title1,artist,artistdetails,date,medium,accession,view,date1,date2,date3,date4,newdate2,newdate3,newdate21,newdate,newdate22,flag,artist_met,met
The Hostages ,The Hostages,Yves Tanguy,"(American (born France), Paris 1900–1955 Woodbury, Connecticut)",Date: 1934,Medium: Oil on canvas,Accession Number: 66.8.1,Not on view,Date:,1934,,,1934,,1934,1934,,,Yves Tanguy,1
From Green to White ,From Green to White,Yves Tanguy,"(American (born France), Paris 1900–1955 Woodbury, Connecticut)",Date: 1954,Medium: Oil on canvas,Accession Number: 1999.363.82,Not on view,Date:,1954,,,1954,,1954,1954,,,Yves Tanguy,1
"La Berceuse (Woman Rocking a Cradle; Augustine-Alix Pellicot Roulin, 1851–1930) ","La Berceuse (Woman Rocking a Cradle; Augustine-Alix Pellicot Roulin, 1851–1930)",Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1889,Medium: Oil on canvas,Accession Number: 1996.435,On view in Gallery 823,Date:,1889,,,1889,,1889,1889,,,Vincent van Gogh,1
"L&#39;Arlésienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848–1911) ","L'Arlésienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848–1911)",Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1888–89,Medium: Oil on canvas,Accession Number: 51.112.3,On view in Gallery 826,Date:,1888–89,,,1888–89,,1888,1888,89,1,Vincent van Gogh,1
Irises,Irises,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1890,Medium: Oil on canvas,Accession Number: 58.187,On view in Gallery 955,Date:,1890,,,1890,,1890,1890,,,Vincent van Gogh,1
Shoes,Shoes,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1888,Medium: Oil on canvas,Accession Number: 1992.374,On view in Gallery 823,Date:,1888,,,1888,,1888,1888,,,Vincent van Gogh,1
Cypresses ,Cypresses,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1889,Medium: Oil on canvas,Accession Number: 49.30,Not on view,Date:,1889,,,1889,,1889,1889,,,Vincent van Gogh,1
Roses ,Roses,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1890,Medium: Oil on canvas,Accession Number: 1993.400.5,On view in Gallery 955,Date:,1890,,,1890,,1890,1890,,,Vincent van Gogh,1
Sunflowers,Sunflowers,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1887,Medium: Oil on canvas,Accession Number: 49.41,On view in Gallery 826,Date:,1887,,,1887,,1887,1887,,,Vincent van Gogh,1
Wheat Field with Cypresses,Wheat Field with Cypresses,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1889,Medium: Oil on canvas,Accession Number: 1993.132,On view in Gallery 823,Date:,1889,,,1889,,1889,1889,,,Vincent van Gogh,1
"First Steps, after Millet","First Steps, after Millet",Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1890,Medium: Oil on canvas,Accession Number: 64.165.2,On view in Gallery 826,Date:,1890,,,1890,,1890,1890,,,Vincent van Gogh,1
Women Picking Olives,Women Picking Olives,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1889,Medium: Oil on canvas,Accession Number: 1995.535,On view in Gallery 823,Date:,1889,,,1889,,1889,1889,,,Vincent van Gogh,1
Oleanders,Oleanders,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1888,Medium: Oil on canvas,Accession Number: 62.24,On view in Gallery 826,Date:,1888,,,1888,,1888,1888,,,Vincent van Gogh,1
The Flowering Orchard ,The Flowering Orchard,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1888,Medium: Oil on canvas,Accession Number: 56.13,On view in Gallery 826,Date:,1888,,,1888,,1888,1888,,,Vincent van Gogh,1
Olive Trees,Olive Trees,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1889,Medium: Oil on canvas,Accession Number: 1998.325.1,On view in Gallery 823,Date:,1889,,,1889,,1889,1889,,,Vincent van Gogh,1
Self-Portrait with a Straw Hat (obverse: The Potato Peeler) ,Self-Portrait with a Straw Hat (obverse: The Potato Peeler),Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1887,Medium: Oil on canvas,Accession Number: 67.187.70a,On view in Gallery 826,Date:,1887,,,1887,,1887,1887,,,Vincent van Gogh,1
The Potato Peeler (reverse: Self-Portrait with a Straw Hat) ,The Potato Peeler (reverse: Self-Portrait with a Straw Hat),Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1885,Medium: Oil on canvas,Accession Number: 67.187.70b,On view in Gallery 826,Date:,1885,,,1885,,1885,1885,,,Vincent van Gogh,1
Peasant Woman Cooking by a Fireplace ,Peasant Woman Cooking by a Fireplace,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1885,Medium: Oil on canvas,Accession Number: 1984.393,On view in Gallery 826,Date:,1885,,,1885,,1885,1885,,,Vincent van Gogh,1
Bouquet of Flowers in a Vase ,Bouquet of Flowers in a Vase,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1890,Medium: Oil on canvas,Accession Number: 1993.400.4,On view in Gallery 823,Date:,1890,,,1890,,1890,1890,,,Vincent van Gogh,1
Madame Roulin and Her Baby ,Madame Roulin and Her Baby,Vincent van Gogh,"(Dutch, Zundert 1853–1890 Auvers-sur-Oise)",Date: 1888,Medium: Oil on canvas,Accession Number: 1975.1.231,On view in Gallery 962,Date:,1888,,,1888,,1888,1888,,,Vincent van Gogh,1
Self-Portrait with Waroquy ,Self-Portrait with Waroquy,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1889,Medium: Oil on canvas,Accession Number: 55.173,On view in Gallery 828,Date:,1889,,,1889,,1889,1889,,,Édouard Vuillard,1
The Album,The Album,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1895,Medium: Oil on canvas,Accession Number: 2000.93.2,On view in Gallery 822,Date:,1895,,,1895,,1895,1895,,,Édouard Vuillard,1
Garden at Vaucresson ,Garden at Vaucresson,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1920; reworked,Medium: Distemper on canvas,Accession Number: 52.183,On view in Gallery 828,Date:,1920;,reworked,,1920;,reworked,1920,1920,,,Édouard Vuillard,1
Mme Vuillard in a Set Designer&#39;s Studio ,Mme Vuillard in a Set Designer's Studio,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1893–94,Medium: Oil on canvas,Accession Number: 1975.1.223,On view in Gallery 961,Date:,1893–94,,,1893–94,,1893,1893,94,1,Édouard Vuillard,1
"Mme Vuillard Sewing by the Window, rue Truffaut","Mme Vuillard Sewing by the Window, rue Truffaut",Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: ca. 1899,Medium: Oil on cardboard laid down on panel.,Accession Number: 1975.1.225,On view in Gallery 961,Date:,ca.,1899,,1899,1899,1899,1899,,,Édouard Vuillard,1
Interior with Paintings and a Pheasant,Interior with Paintings and a Pheasant,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1928,Medium: Tempera and pastel on canvas,Accession Number: 48.162.4,On view in Gallery 828,Date:,1928,,,1928,,1928,1928,,,Édouard Vuillard,1
At Table ,At Table,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1893,Medium: Oil on cardboard,Accession Number: 1984.433.25,On view in Gallery 828,Date:,1893,,,1893,,1893,1893,,,Édouard Vuillard,1
Conversation,Conversation,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1897–98,Medium: Oil on cardboard,Accession Number: 1999.363.85,On view in Gallery 904,Date:,1897–98,,,1897–98,,1897,1897,98,1,Édouard Vuillard,1
Luncheon,Luncheon,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1901,Medium: Oil on cardboard,Accession Number: 1979.135.28,Not on view,Date:,1901,,,1901,,1901,1901,,,Édouard Vuillard,1
"Jos and Lucie Hessel in the Small Salon, Rue de Rivoli","Jos and Lucie Hessel in the Small Salon, Rue de Rivoli",Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: ca. 1900–1905,Medium: Oil on cardboard mounted on canvas,Accession Number: 2003.20.18,On view in Gallery 822,Date:,ca.,1900–1905,,1900–1905,1900–1905,1900,1900,1905,1,Édouard Vuillard,1
Interior,Interior,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: ca. 1900–1905,"Medium: Oil on cardboard, mounted on wood",Accession Number: 67.187.118,On view in Gallery 828,Date:,ca.,1900–1905,,1900–1905,1900–1905,1900,1900,1905,1,Édouard Vuillard,1
Interior at Saint-Jacut ,Interior at Saint-Jacut,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1909,Medium: Pastel and gouache on paper,Accession Number: 2000.197,Not on view,Date:,1909,,,1909,,1909,1909,,,Édouard Vuillard,1
The Green Interior (Figure Seated by a Curtained Window) ,The Green Interior (Figure Seated by a Curtained Window),Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1891,"Medium: Oil on cardboard, mounted on cradled wood",Accession Number: 1975.1.222,Not on view,Date:,1891,,,1891,,1891,1891,,,Édouard Vuillard,1
Misia at the Piano ,Misia at the Piano,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1895 or early ,Medium: Oil on cardboard,Accession Number: 1975.1.224,Not on view,Date:,1895,or,early,1895,or,1895,1895,,,Édouard Vuillard,1
The Small Drawing-Room: Mme Hessel at Her Sewing Table,The Small Drawing-Room: Mme Hessel at Her Sewing Table,Édouard Vuillard,"(French, Cuiseaux 1868–1940 La Baule)",Date: 1917,"Medium: Oil and gum tempera on paper, glued to canvas",Accession Number: 1975.1.226,Not on view,Date:,1917,,,1917,,1917,1917,,,Édouard Vuillard,1
